CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR,FECHA,ESTADO,VALOR_VENTA,COMISION,CATEGORIA
Ricardo Castro,Yogur 120g,0.87,3,Santa Marta,Carlos T.,2025-09-08,Pendiente,2.61,0.13,Carnes
Laura Mendoza,Leche 1L,2.77,5,Sincelejo,Carlos T.,2024-12-12,Cerrado,13.85,0.69,Limpieza
Gabriel Navarro,Arroz 1kg,3.36,11,Sincelejo,Andrea C.,2025-01-06,Cerrado,36.96,1.85,Lácteos
Marta Aguilar,Tomate enlatado 400g,1.52,2,Medellín,María V.,2025-09-03,Pendiente,3.04,0.15,Snacks
Sofía López,Café 250g,5.37,47,Barranquilla,Camila R.,2025-07-02,Cancelado,252.39,12.62,Snacks
Sofía López,Arroz 1kg,4.58,4,Manizales,Juan L.,2024-12-01,Cerrado,18.32,0.92,Carnes
Isabella Ortiz,Harina 1kg,3.49,1,Cartagena,Juan L.,2025-05-15,Cancelado,3.49,0.17,Bebidas no alcohólicas
Valentina Silva,Arroz 1kg,4.4,4,Montería,Diego S.,2025-06-22,Cerrado,17.6,0.88,Congelados
Juan Gómez,Leche 1L,2.55,2,Barranquilla,Andrea C.,2024-11-17,Cerrado,5.1,0.26,Bebidas no alcohólicas
Laura Mendoza,Detergente 1kg,7.17,2,Bucaramanga,Natalia M.,2025-02-02,Cerrado,14.34,0.72,Congelados
Isabella Ortiz,Salsa de tomate 400g,1.72,1,Montería,Luis P.,2025-04-25,Cerrado,1.72,0.09,Abarrotes
Ana García,Arroz 1kg,3.46,4,Barranquilla,María V.,2025-07-27,Cerrado,13.84,0.69,Lácteos
Andrés Díaz,Harina 1kg,4.01,4,Neiva,Carlos T.,2025-04-11,Pendiente,16.04,0.8,Limpieza
Óscar Herrera,Leche 1L,2.69,15,Barranquilla,Natalia M.,2025-06-02,Cerrado,40.35,2.02,Snacks
Gabriel Navarro,Salsa de tomate 400g,1.75,15,Villavicencio,Juan L.,2025-04-06,Cerrado,26.25,1.31,Panadería
Gabriel Navarro,Jabón 500g,2.04,14,Ibagué,Santiago Q.,2025-05-23,Cerrado,28.56,1.43,Bebidas
Cecilia Torres,Galletas 200g,2.38,5,Sincelejo,Carlos T.,2024-11-04,Cerrado,11.9,0.6,Alimentos
Isabella Ortiz,Detergente 1kg,6.85,45,Pereira,Camila R.,2025-02-24,Cerrado,308.25,15.41,Bebidas
Cecilia Torres,Detergente 1kg,5.2,1,Santa Marta,Andrea C.,2025-07-12,Cerrado,5.2,0.26,Limpieza
Isabella Ortiz,Queso 250g,4.26,6,Bucaramanga,María V.,2025-06-21,Pendiente,25.56,1.28,Limpieza
Diego Ramírez,Atún 170g,2.22,8,Montería,Juan L.,2025-01-28,Cerrado,17.76,0.89,Congelados
Valentina Silva,Mantequilla 200g,3.18,4,Neiva,Juan L.,2025-07-04,Cerrado,12.72,0.64,Bebidas no alcohólicas
Andrés Díaz,Jabón 500g,2.2,12,Manizales,María V.,2025-04-16,Cerrado,26.4,1.32,Bebidas
Isabella Ortiz,Pan 500g,1.06,3,Bucaramanga,Natalia M.,2025-03-01,Cerrado,3.18,0.16,Congelados
Andrés Díaz,Huevos 12u,2.46,5,Cartagena,Santiago Q.,2025-07-04,Cerrado,12.3,0.62,Congelados
Isabella Ortiz,Azúcar 1kg,3.59,2,Cartagena,Camila R.,2025-07-01,Cerrado,7.18,0.36,Bebidas no alcohólicas
Laura Mendoza,Leche 1L,2.93,29,Barranquilla,Diego S.,2025-05-25,Pendiente,84.97,4.25,Panadería
Andrés Díaz,Jabón 500g,2.69,10,Villavicencio,Andrea C.,2025-06-18,Cerrado,26.9,1.34,Snacks
Carlos Pérez,Atún 170g,1.78,2,Bogotá,Camila R.,2025-09-12,Cerrado,3.56,0.18,Carnes
Valentina Silva,Detergente 1kg,6.73,4,Neiva,Santiago Q.,2025-08-20,Cerrado,26.92,1.35,Snacks
Jorge Martínez,Pasta 500g,1.56,5,Cali,Juan L.,2025-06-11,Cerrado,7.8,0.39,Alimentos
Andrés Díaz,Azúcar 1kg,2.78,15,Villavicencio,Daniela F.,2025-09-08,Cerrado,41.7,2.09,Bebidas
María Rodríguez,Atún 170g,2.42,10,Neiva,Santiago Q.,2025-08-20,Cerrado,24.2,1.21,Snacks
Gabriel Navarro,Jabón 500g,2.9,12,Barranquilla,Diego S.,2025-05-29,Pendiente,34.8,1.74,Carnes
Carlos Pérez,Mantequilla 200g,3.57,8,Medellín,Santiago Q.,2025-09-21,Cerrado,28.56,1.43,Abarrotes
Diego Ramírez,Aceite 1L,8.56,2,Cartagena,Luis P.,2025-01-03,Cerrado,17.12,0.86,Bebidas
María Rodríguez,Queso 250g,4.41,3,Barranquilla,Natalia M.,2025-06-11,Pendiente,13.23,0.66,Carnes
Patricia Morales,Atún 170g,1.94,6,Montería,Daniela F.,2024-10-28,Cerrado,11.64,0.58,Congelados
Valentina Silva,Pollo 1kg,7.65,4,Bogotá,Andrea C.,2024-12-13,Cerrado,30.6,1.53,Limpieza
Carlos Pérez,Tomate enlatado 400g,1.35,7,Bogotá,Andrea C.,2025-07-12,Cerrado,9.45,0.47,Panadería
Cecilia Torres,Tomate enlatado 400g,1.65,5,Cali,Juan L.,2025-02-08,Cerrado,8.25,0.41,Alimentos
Marta Aguilar,Huevos 12u,2.15,2,Santa Marta,Natalia M.,2025-04-05,Cancelado,4.3,0.22,Carnes
Isabella Ortiz,Pasta 500g,1.53,3,Cali,Andrea C.,2025-04-01,Cancelado,4.59,0.23,Snacks
Ana García,Jabón 500g,2.42,5,Cali,Natalia M.,2025-06-03,Cerrado,12.1,0.6,Limpieza
Andrés Díaz,Harina 1kg,3.41,5,Cali,María V.,2025-04-26,Cerrado,17.05,0.85,Snacks
Ana García,Harina 1kg,3.53,11,Barranquilla,Camila R.,2025-08-29,Pendiente,38.83,1.94,Bebidas
Patricia Morales,Huevos 12u,2.73,3,Cali,Daniela F.,2024-10-12,Cerrado,8.19,0.41,Carnes
Gabriel Navarro,Atún 170g,2.08,2,Medellín,Natalia M.,2025-08-21,Cerrado,4.16,0.21,Snacks
Sofía López,Galletas 200g,2.21,1,Villavicencio,Santiago Q.,2024-12-03,Cerrado,2.21,0.11,Bebidas no alcohólicas
Valentina Silva,Arroz 1kg,4.68,5,Bucaramanga,Juan L.,2025-02-11,Cerrado,23.4,1.17,Lácteos
Sofía López,Jabón 500g,2.84,2,Bucaramanga,Santiago Q.,2025-07-24,Cerrado,5.68,0.28,Limpieza
Jorge Martínez,Pollo 1kg,6.86,2,Manizales,Santiago Q.,2024-11-12,Cerrado,13.72,0.69,Abarrotes
Juan Gómez,Café 250g,6.0,15,Neiva,Diego S.,2024-11-29,Cerrado,90.0,4.5,Limpieza
Juan Gómez,Galletas 200g,1.76,4,Sincelejo,Natalia M.,2025-03-01,Cerrado,7.04,0.35,Snacks
Diego Ramírez,Leche 1L,2.78,4,Cúcuta,Santiago Q.,2025-04-22,Cancelado,11.12,0.56,Snacks
Marta Aguilar,Harina 1kg,3.74,2,Medellín,María V.,2025-07-11,Cerrado,7.48,0.37,Alimentos
Diego Ramírez,Mantequilla 200g,4.0,4,Barranquilla,Daniela F.,2024-10-06,Cerrado,16.0,0.8,Bebidas no alcohólicas
Ricardo Castro,Queso 250g,4.07,13,Santa Marta,Camila R.,2024-12-17,Cerrado,52.91,2.65,Abarrotes
Héctor Suarez,Tomate enlatado 400g,1.76,45,Medellín,Luis P.,2025-03-31,Cerrado,79.2,3.96,Panadería
Cecilia Torres,Detergente 1kg,6.37,1,Cúcuta,Camila R.,2025-07-29,Pendiente,6.37,0.32,Alimentos
Sofía López,Galletas 200g,1.68,4,Neiva,Luis P.,2025-08-29,Cerrado,6.72,0.34,Bebidas
Ana García,Huevos 12u,2.05,2,Manizales,Andrea C.,2025-04-08,Cerrado,4.1,0.2,Abarrotes
Héctor Suarez,Pan 500g,1.01,21,Bucaramanga,Daniela F.,2025-06-25,Cerrado,21.21,1.06,Carnes
Jorge Martínez,Pan 500g,1.24,5,Cali,Luis P.,2024-11-08,Cerrado,6.2,0.31,Lácteos
Gabriel Navarro,Huevos 12u,2.63,1,Ibagué,Andrea C.,2025-05-05,Cerrado,2.63,0.13,Alimentos
Gabriel Navarro,Tomate enlatado 400g,1.54,2,Medellín,Santiago Q.,2025-04-30,Cerrado,3.08,0.15,Lácteos
Carlos Pérez,Jabón 500g,2.71,6,Pereira,Luis P.,2025-02-26,Cerrado,16.26,0.81,Bebidas no alcohólicas
María Rodríguez,Aceite 1L,8.02,5,Cali,Diego S.,2024-09-29,Cerrado,40.1,2.01,Bebidas
Marta Aguilar,Arroz 1kg,4.8,3,Cali,Carlos T.,2024-11-05,Cerrado,14.4,0.72,Bebidas
Jorge Martínez,Pan 500g,1.37,17,Neiva,María V.,2025-06-01,Cerrado,23.29,1.16,Panadería
Diego Ramírez,Leche 1L,2.4,3,Bucaramanga,Luis P.,2025-02-08,Pendiente,7.2,0.36,Bebidas
Andrés Díaz,Pan 500g,1.02,3,Cartagena,Daniela F.,2025-07-02,Cerrado,3.06,0.15,Snacks
Ana García,Pan 500g,1.23,9,Ibagué,Diego S.,2025-07-22,Cerrado,11.07,0.55,Limpieza
María Rodríguez,Pan 500g,1.23,4,Manizales,Juan L.,2024-10-24,Cerrado,4.92,0.25,Limpieza
Ana García,Aceite 1L,6.46,4,Sincelejo,Camila R.,2025-07-25,Cerrado,25.84,1.29,Panadería
Andrés Díaz,Aceite 1L,8.29,4,Bogotá,Luis P.,2025-09-18,Cerrado,33.16,1.66,Snacks
Sofía López,Leche 1L,3.35,11,Bucaramanga,Luis P.,2024-10-16,Cerrado,36.85,1.84,Limpieza
Patricia Morales,Harina 1kg,3.24,2,Manizales,Diego S.,2024-11-23,Pendiente,6.48,0.32,Carnes
Diego Ramírez,Harina 1kg,3.1,4,Pereira,Natalia M.,2025-09-23,Pendiente,12.4,0.62,Snacks
Héctor Suarez,Mantequilla 200g,3.88,3,Santa Marta,Juan L.,2025-01-15,Cerrado,11.64,0.58,Bebidas no alcohólicas
Patricia Morales,Aceite 1L,8.69,3,Cali,Luis P.,2024-10-07,Cerrado,26.07,1.3,Congelados
Héctor Suarez,Tomate enlatado 400g,1.35,4,Manizales,Carlos T.,2025-09-09,Cerrado,5.4,0.27,Lácteos
Isabella Ortiz,Pollo 1kg,7.37,5,Bogotá,María V.,2024-12-28,Cerrado,36.85,1.84,Snacks
Felipe Rojas,Azúcar 1kg,3.36,6,Cali,Carlos T.,2025-07-08,Cerrado,20.16,1.01,Lácteos
Juan Gómez,Pasta 500g,1.66,2,Pereira,María V.,2025-05-30,Cerrado,3.32,0.17,Carnes
Ana García,Pan 500g,1.3,8,Sincelejo,Daniela F.,2025-09-13,Cancelado,10.4,0.52,Congelados
Luisa Fernández,Pollo 1kg,7.81,5,Barranquilla,Juan L.,2025-06-12,Pendiente,39.05,1.95,Abarrotes
Carlos Pérez,Leche 1L,3.36,13,Cartagena,Diego S.,2025-01-18,Cerrado,43.68,2.18,Panadería
Diego Ramírez,Huevos 12u,2.43,11,Manizales,Luis P.,2025-01-03,Pendiente,26.73,1.34,Snacks
Óscar Herrera,Aceite 1L,7.95,15,Cúcuta,Daniela F.,2024-12-16,Cerrado,119.25,5.96,Panadería
Cecilia Torres,Pollo 1kg,6.75,9,Montería,Natalia M.,2025-08-21,Cerrado,60.75,3.04,Bebidas
Óscar Herrera,Pasta 500g,1.52,12,Cali,Luis P.,2024-10-26,Pendiente,18.24,0.91,Lácteos
Luisa Fernández,Yogur 120g,0.8,4,Ibagué,Diego S.,2025-05-01,Cerrado,3.2,0.16,Lácteos
Ricardo Castro,Yogur 120g,0.71,3,Manizales,Andrea C.,2025-08-23,Cancelado,2.13,0.11,Bebidas
Gabriel Navarro,Harina 1kg,3.44,5,Cali,Carlos T.,2025-08-28,Cerrado,17.2,0.86,Abarrotes
Carlos Pérez,Galletas 200g,2.36,4,Barranquilla,Natalia M.,2025-05-07,Pendiente,9.44,0.47,Alimentos
Carlos Pérez,Pollo 1kg,7.91,1,Santa Marta,Daniela F.,2025-09-20,Cerrado,7.91,0.4,Bebidas no alcohólicas
Gabriel Navarro,Yogur 120g,0.81,13,Villavicencio,Diego S.,2024-11-08,Cerrado,10.53,0.53,Snacks
Juan Gómez,Arroz 1kg,4.0,5,Bucaramanga,Natalia M.,2025-03-01,Cerrado,20.0,1.0,Lácteos
María Rodríguez,Huevos 12u,2.57,15,Cali,Santiago Q.,2025-05-01,Cerrado,38.55,1.93,Bebidas no alcohólicas
Héctor Suarez,Azúcar 1kg,3.02,14,Bucaramanga,Santiago Q.,2025-09-13,Cerrado,42.28,2.11,Lácteos
Carlos Pérez,Mantequilla 200g,4.31,5,Montería,María V.,2025-05-28,Cerrado,21.55,1.08,Alimentos
Carlos Pérez,Arroz 1kg,4.21,2,Bogotá,María V.,2025-08-11,Cerrado,8.42,0.42,Bebidas
Héctor Suarez,Mantequilla 200g,4.21,1,Neiva,Carlos T.,2024-10-26,Cerrado,4.21,0.21,Alimentos
Ricardo Castro,Huevos 12u,2.2,3,Medellín,Diego S.,2025-01-01,Cerrado,6.6,0.33,Lácteos
Laura Mendoza,Jabón 500g,2.42,4,Bucaramanga,Santiago Q.,2024-11-11,Cerrado,9.68,0.48,Bebidas
Marta Aguilar,Huevos 12u,2.77,11,Montería,Diego S.,2024-12-01,Cerrado,30.47,1.52,Alimentos
Ana García,Galletas 200g,1.77,4,Sincelejo,Natalia M.,2025-06-13,Cerrado,7.08,0.35,Abarrotes
Sofía López,Harina 1kg,3.06,2,Ibagué,Andrea C.,2025-04-23,Cerrado,6.12,0.31,Bebidas
Marta Aguilar,Café 250g,6.38,2,Villavicencio,María V.,2025-07-27,Cerrado,12.76,0.64,Snacks
Laura Mendoza,Jabón 500g,2.37,7,Cartagena,Natalia M.,2024-11-07,Cerrado,16.59,0.83,Lácteos
Juan Gómez,Cereal 300g,4.8,15,Villavicencio,María V.,2025-09-11,Cerrado,72.0,3.6,Carnes
Gabriel Navarro,Café 250g,5.4,2,Sincelejo,Carlos T.,2025-01-30,Cerrado,10.8,0.54,Panadería
Óscar Herrera,Harina 1kg,3.51,14,Barranquilla,Camila R.,2024-12-06,Cerrado,49.14,2.46,Lácteos
Valentina Silva,Pasta 500g,2.05,2,Medellín,Santiago Q.,2024-11-26,Cerrado,4.1,0.2,Snacks
Patricia Morales,Cereal 300g,3.97,9,Santa Marta,Daniela F.,2025-02-15,Cerrado,35.73,1.79,Limpieza
Luisa Fernández,Queso 250g,4.26,11,Medellín,Juan L.,2025-06-05,Cerrado,46.86,2.34,Bebidas no alcohólicas
Felipe Rojas,Arroz 1kg,4.54,2,Neiva,Daniela F.,2025-03-19,Pendiente,9.08,0.45,Bebidas no alcohólicas
Patricia Morales,Jabón 500g,2.61,26,Neiva,Luis P.,2024-12-18,Cerrado,67.86,3.39,Panadería
Óscar Herrera,Yogur 120g,0.88,1,Bogotá,Luis P.,2025-03-21,Cerrado,0.88,0.04,Lácteos
Andrés Díaz,Yogur 120g,0.77,11,Sincelejo,Natalia M.,2024-12-26,Cerrado,8.47,0.42,Panadería
Cecilia Torres,Huevos 12u,2.02,4,Neiva,Santiago Q.,2025-09-15,Cerrado,8.08,0.4,Congelados
